mu1,mu2,s1,s2,s3,s4,a1,b1,a2,b2
0.0245139,0.0814434,2.29681e-05,-3.92552e-06,-3.92552e-06,8.68674e-05,20.5184,78.2108,76.2133,940.309
0.123769,0.0793266,4.04323e-05,6.42457e-06,6.42457e-06,8.80177e-05,76.5025,19.6086,72.1376,910.603
0.0355929,0.0812377,3.94612e-05,-1.08379e-06,-1.08379e-06,8.73944e-05,23.4934,66.8305,75.6336,930.443
0.0222618,0.0823889,1.93481e-05,-3.45112e-06,-3.45112e-06,8.71956e-05,20.1243,77.4319,77.3039,944.913
0.0452009,0.1161,6.2873e-05,-4.48405e-06,-4.48405e-06,0.000137954,22.5393,53.2866,98.1258,844.36
0.0785375,0.11971,3.40105e-05,2.44878e-06,2.44878e-06,0.000138682,53.2137,22.5126,104.008,866.562
0.0404827,0.0901879,4.85762e-05,-9.50569e-07,-9.50569e-07,9.8379e-05,23.8501,59.9418,82.3291,914.885
0.0782852,0.12058,3.49904e-05,2.16224e-06,2.16224e-06,0.000140796,51.3291,21.6926,102.128,852.085
0.0592759,0.0353454,2.56054e-05,-1.66542e-07,-1.66542e-07,4.55436e-05,72.3277,81.7271,27.4242,775.994
0.081008,0.0936524,3.16822e-05,2.04559e-07,2.04559e-07,9.98319e-05,59.6016,24.4834,87.7108,937.335
0.0257708,0.0808467,2.48224e-05,-4.13437e-06,-4.13437e-06,8.66035e-05,20.9328,78.8513,74.1906,929.266
0.0258902,0.0843694,2.41767e-05,-4.30497e-07,-4.30497e-07,8.88981e-05,20.6413,63.0599,79.7615,947.26
0.0809461,0.0372708,2.63231e-05,1.60459e-06,1.60459e-06,4.67888e-05,101.402,70.3915,29.9144,800.431
0.0813835,0.0931717,3.14306e-05,2.5278e-07,2.5278e-07,9.93845e-05,58.9929,23.3247,87.373,937.634
0.0835624,0.0841066,2.71432e-05,4.54046e-07,4.54046e-07,8.90759e-05,64.8457,22.1915,79.2876,943.498
0.0389492,0.0909455,4.3756e-05,-7.60123e-07,-7.60123e-07,9.846e-05,24.4144,60.4994,83.9408,923.391
0.0368757,0.0910385,4.20267e-05,-6.71138e-07,-6.71138e-07,9.8586e-05,23.0079,59.0889,84.3764,925.181
0.0727072,0.0343911,3.06096e-05,1.64696e-07,1.64696e-07,4.5341e-05,80.9156,72.2139,25.9574,756.639
0.0528586,0.0353741,2.06127e-05,-1.97598e-07,-1.97598e-07,4.65781e-05,71.8903,82.3158,26.8552,759.332
0.0426394,0.0383179,1.53764e-05,-1.13428e-06,-1.13428e-06,4.55999e-05,69.6933,101.485,32.5361,845.473
0.0305309,0.0833071,2.79007e-05,-5.63822e-07,-5.63822e-07,8.78594e-05,24.3336,67.926,78.8675,947.509
0.026337,0.0839636,2.37439e-05,-4.587e-07,-4.587e-07,8.81278e-05,21.6309,64.5593,80.0621,953.189
0.0933802,0.0823152,3.35746e-05,8.21698e-07,8.21698e-07,8.79017e-05,64.7099,21.8048,77.2998,937.865
0.0572913,0.0352653,2.40878e-05,-1.97322e-07,-1.97322e-07,4.60298e-05,72.065,82.0178,27.0586,766.726
0.0547713,0.0373767,2.22114e-05,-2.35211e-07,-2.35211e-07,4.73543e-05,71.8774,82.9049,29.5921,790.532
0.0979211,0.0341813,3.76551e-05,2.39765e-06,2.39765e-06,4.62028e-05,101.54,68.0067,23.9561,721.262
0.0895297,0.118669,4.45966e-05,3.01594e-06,3.01594e-06,0.000138855,53.8707,23.485,102.409,859.423
0.108546,0.0813904,3.15529e-05,5.1068e-06,5.1068e-06,8.80099e-05,79.9276,22.0397,77.279,941.486
0.028023,0.0838215,2.62692e-05,-5.00426e-07,-5.00426e-07,8.8449e-05,22.064,64.9924,79.434,947.72
0.036182,0.0916077,3.844e-05,-5.50131e-07,-5.50131e-07,9.85464e-05,24.0502,60.2069,85.0354,928.96
0.0415717,0.0914348,4.49585e-05,-7.81981e-07,-7.81981e-07,9.87992e-05,26.6069,62.0748,84.8254,926.651
0.0276772,0.0940213,2.65077e-05,-9.45482e-08,-9.45482e-08,9.99908e-05,20.8181,56.2121,88.4371,940.455
0.0177435,0.084346,1.44152e-05,-2.8529e-06,-2.8529e-06,8.88486e-05,17.3987,72.0709,81.0744,958.299
0.086414,0.0922112,3.50717e-05,4.09379e-07,4.09379e-07,9.88617e-05,59.2553,23.2357,85.9493,932.433
0.0243143,0.0819761,2.26383e-05,-3.91999e-06,-3.91999e-06,8.72686e-05,20.4801,78.0787,76.1435,937.741
0.0441539,0.0382417,1.71384e-05,-1.35878e-06,-1.35878e-06,4.69233e-05,67.7439,101.217,30.9898,813.606
0.0626766,0.0351003,2.23384e-05,1.60484e-07,1.60484e-07,4.57119e-05,81.8965,72.2531,26.9346,767.62
0.0746183,0.120752,3.1397e-05,2.07849e-06,2.07849e-06,0.00014027,51.5546,21.5404,103.556,859.645
0.0580712,0.0345562,1.97361e-05,2.59994e-08,2.59994e-08,4.51802e-05,80.5923,72.8408,26.4371,764.95
0.0648698,0.122394,2.41901e-05,1.5458e-06,1.5458e-06,0.000141685,50.42,20.9861,106.617,867.767
0.0802917,0.0371976,2.55174e-05,1.65019e-06,1.65019e-06,4.57989e-05,101.99,69.724,30.55,817.682
0.0283545,0.0833748,2.52231e-05,-5.17336e-07,-5.17336e-07,8.74924e-05,23.3574,66.7964,79.4362,952.907
0.0931837,0.0927235,4.32224e-05,4.59706e-07,4.59706e-07,0.000100314,59.7964,25.7648,85.8664,925.211
0.0951164,0.118527,5.16849e-05,3.13516e-06,3.13516e-06,0.000140274,52.4384,22.8556,100.21,845.786
0.0639111,0.0329249,2.40993e-05,5.82018e-08,5.82018e-08,4.53057e-05,79.9972,72.4016,23.9093,726.453
0.0894826,0.0826442,3.06798e-05,6.91349e-07,6.91349e-07,8.73812e-05,69.573,25.6506,78.3485,946.989
0.0469585,0.11531,6.74833e-05,-4.90226e-06,-4.90226e-06,0.00013744,22.6539,53.4666,97.5328,843.493
0.053222,0.114055,8.42565e-05,-6.08331e-06,-6.08331e-06,0.000137959,23.1876,53.7682,93.7836,825.81
