mu1,mu2,s1,s2,s3,s4,a1,b1,a2,b2
0.0735305,0.0956629,2.75163e-05,-1.02913e-07,-1.02913e-07,0.000101621,0,0,0,0
0.0734516,0.120515,2.99808e-05,2.17594e-06,2.17594e-06,0.000139731,0,0,0,0
0.108008,0.0804622,3.05474e-05,5.0062e-06,5.0062e-06,8.67714e-05,0,0,0,0
0.133167,0.0790092,4.72222e-05,7.35703e-06,7.35703e-06,8.80846e-05,0,0,0,0
0.0743092,0.121204,3.16429e-05,1.99226e-06,1.99226e-06,0.000141585,0,0,0,0
0.0387527,0.0790106,4.79617e-05,-7.47928e-06,-7.47928e-06,8.78361e-05,0,0,0,0
0.0968276,0.0822154,3.62017e-05,8.74919e-07,8.74919e-07,8.81924e-05,0,0,0,0
0.0314075,0.119768,3.25977e-05,-2.41805e-06,-2.41805e-06,0.0001387,0,0,0,0
0.0343247,0.0836575,3.49725e-05,-4.87938e-07,-4.87938e-07,9.00417e-05,0,0,0,0
0.108573,0.0813275,3.14964e-05,5.1012e-06,5.1012e-06,8.7809e-05,0,0,0,0
0.0298249,0.0946472,2.68836e-05,-2.92126e-08,-2.92126e-08,0.000100448,0,0,0,0
0.0854346,0.0840775,2.85043e-05,4.81278e-07,4.81278e-07,8.945e-05,0,0,0,0
0.137315,0.0777823,4.89784e-05,7.72633e-06,7.72633e-06,8.6764e-05,0,0,0,0
0.0813834,0.119131,3.63508e-05,2.69844e-06,2.69844e-06,0.000138471,0,0,0,0
0.0352506,0.0933834,3.55257e-05,-2.73119e-07,-2.73119e-07,0.000100118,0,0,0,0
0.117968,0.0800766,3.67517e-05,5.88064e-06,5.88064e-06,8.74474e-05,0,0,0,0
0.090129,0.0832389,3.14979e-05,6.34978e-07,6.34978e-07,8.87229e-05,0,0,0,0
0.0313136,0.0831989,3.06825e-05,-6.23375e-07,-6.23375e-07,8.83934e-05,0,0,0,0
0.028352,0.121011,2.69913e-05,-1.95834e-06,-1.95834e-06,0.000139761,0,0,0,0
0.0236716,0.122899,2.05375e-05,-1.4488e-06,-1.4488e-06,0.000141868,0,0,0,0
0.0919188,0.118397,4.70818e-05,3.1648e-06,3.1648e-06,0.000138993,0,0,0,0
0.136826,0.0776622,4.86632e-05,7.6524e-06,7.6524e-06,8.68355e-05,0,0,0,0
0.0321831,0.0937537,2.99565e-05,-1.72843e-07,-1.72843e-07,9.97106e-05,0,0,0,0
0.0790556,0.0931096,2.93394e-05,2.14039e-07,2.14039e-07,9.90448e-05,0,0,0,0
0.0752234,0.120453,3.16168e-05,2.16841e-06,2.16841e-06,0.000139638,0,0,0,0
0.107101,0.0811738,3.04285e-05,4.98726e-06,4.98726e-06,8.76769e-05,0,0,0,0
0.107535,0.0810854,4.48043e-05,1.23217e-06,1.23217e-06,8.82184e-05,0,0,0,0
0.114423,0.080744,3.49138e-05,5.58721e-06,5.58721e-06,8.78063e-05,0,0,0,0
0.0788152,0.0846184,2.41228e-05,3.70227e-07,3.70227e-07,8.91878e-05,0,0,0,0
0.0929838,0.0823396,3.32353e-05,7.95965e-07,7.95965e-07,8.76948e-05,0,0,0,0
0.0795137,0.120179,3.56817e-05,2.32864e-06,2.32864e-06,0.000140278,0,0,0,0
0.0795459,0.0937822,3.04775e-05,1.79701e-07,1.79701e-07,9.97473e-05,0,0,0,0
0.0332852,0.0824353,3.5462e-05,-8.21964e-07,-8.21964e-07,8.83368e-05,0,0,0,0
0.0359861,0.0930887,3.52664e-05,-3.38924e-07,-3.38924e-07,9.9544e-05,0,0,0,0
0.0642111,0.0958231,1.99588e-05,-1.30088e-07,-1.30088e-07,0.000100816,0,0,0,0
0.107351,0.0813906,3.07624e-05,5.0091e-06,5.0091e-06,8.78751e-05,0,0,0,0
0.111816,0.0806863,4.85038e-05,1.38364e-06,1.38364e-06,8.81593e-05,0,0,0,0
0.0763444,0.0938806,2.77289e-05,1.22338e-07,1.22338e-07,9.99173e-05,0,0,0,0
0.0387505,0.0815389,4.29537e-05,-1.08943e-06,-1.08943e-06,8.82951e-05,0,0,0,0
0.105666,0.0813541,2.96415e-05,4.86495e-06,4.86495e-06,8.75372e-05,0,0,0,0
0.124369,0.0797244,4.10101e-05,6.47663e-06,6.47663e-06,8.75469e-05,0,0,0,0
0.123041,0.0794556,3.98016e-05,6.32916e-06,6.32916e-06,8.72829e-05,0,0,0,0
0.0291006,0.120823,2.82203e-05,-2.02814e-06,-2.02814e-06,0.00013969,0,0,0,0
0.0863791,0.0832171,2.86585e-05,5.78737e-07,5.78737e-07,8.78038e-05,0,0,0,0
0.0763247,0.120559,3.28782e-05,2.14013e-06,2.14013e-06,0.000140105,0,0,0,0
0.108599,0.0809192,3.12055e-05,5.10759e-06,5.10759e-06,8.76525e-05,0,0,0,0
0.0828059,0.0944344,3.48302e-05,7.67224e-08,7.67224e-08,0.000101362,0,0,0,0
0.0922534,0.0821933,3.26688e-05,7.94235e-07,7.94235e-07,8.73162e-05,0,0,0,0
