mu1,mu2,mu3,s1,s2,s3,s4,s5,s6,s7,s8,s9,a1,b1,a2,b2,a3,b3
0.0751979,0.126963,0.113735,9.17208e-05,-9.54078e-06,-1.30718e-05,-9.54078e-06,0.000158908,-2.74304e-07,-1.30718e-05,-2.74304e-07,0.000139995,61.6515,819.857,103.687,810.307,95.9814,833.628
0.102983,0.0765206,0.111193,0.000118099,-9.18264e-06,-2.9602e-06,-9.18264e-06,8.78663e-05,-6.72176e-06,-2.9602e-06,-6.72176e-06,0.00012731,89.8013,872.004,69.0571,890.153,97.4177,876.927
0.0917159,0.110615,0.12536,0.000112323,-9.9375e-06,-1.06896e-05,-9.9375e-06,0.000137436,-4.69853e-06,-1.06896e-05,-4.69853e-06,0.00015682,74.8892,816.535,90.4409,813.814,101.168,806.415
0.0878377,0.0939408,0.150482,0.000109482,-1.64053e-05,-5.92208e-06,-1.64053e-05,0.000117097,-2.49619e-06,-5.92208e-06,-2.49619e-06,0.000198535,70.4723,802.301,78.7028,828.57,115.774,764.446
0.0765206,0.102983,0.111193,8.78663e-05,-9.18264e-06,-6.72176e-06,-9.18264e-06,0.000118099,-2.9602e-06,-6.72176e-06,-2.9602e-06,0.00012731,66.6399,870.875,92.8364,890.242,98.5671,882.085
0.102983,0.0765206,0.111193,0.000118099,-9.18264e-06,-2.9602e-06,-9.18264e-06,8.78663e-05,-6.72176e-06,-2.9602e-06,-6.72176e-06,0.00012731,89.8013,872.004,66.6847,874.729,97.4785,877.201
0.0878377,0.0939408,0.150482,0.000109482,-1.64053e-05,-5.92208e-06,-1.64053e-05,0.000117097,-2.49619e-06,-5.92208e-06,-2.49619e-06,0.000198535,70.4723,802.301,80.1528,836.168,115.976,765.113
0.0751979,0.126963,0.113735,9.17208e-05,-9.54078e-06,-1.30718e-05,-9.54078e-06,0.000158908,-2.74304e-07,-1.30718e-05,-2.74304e-07,0.000139995,61.6515,819.857,95.3264,776.952,84.3417,781.448
0.102983,0.0765206,0.111193,0.000118099,-9.18264e-06,-2.9602e-06,-9.18264e-06,8.78663e-05,-6.72176e-06,-2.9602e-06,-6.72176e-06,0.00012731,89.8013,872.004,66.7919,875.432,99.9115,888.081
0.102983,0.0765206,0.111193,0.000118099,-9.18264e-06,-2.9602e-06,-9.18264e-06,8.78663e-05,-6.72176e-06,-2.9602e-06,-6.72176e-06,0.00012731,89.8013,872.004,66.7348,875.057,98.6374,882.4
0.126963,0.0751979,0.113735,0.000158908,-9.54078e-06,-2.74304e-07,-9.54078e-06,9.17208e-05,-1.30718e-05,-2.74304e-07,-1.30718e-05,0.000139995,101.44,798.972,61.095,818.709,96.2318,834.715
0.110615,0.0917159,0.12536,0.000137436,-9.9375e-06,-4.69853e-06,-9.9375e-06,0.000112323,-1.06896e-05,-4.69853e-06,-1.06896e-05,0.00015682,89.0284,804.847,73.8425,813.414,100.039,801.906
0.102983,0.0765206,0.111193,0.000118099,-9.18264e-06,-2.9602e-06,-9.18264e-06,8.78663e-05,-6.72176e-06,-2.9602e-06,-6.72176e-06,0.00012731,89.8013,872.004,65.8059,868.946,97.3031,876.411
0.0878377,0.0939408,0.150482,0.000109482,-1.64053e-05,-5.92208e-06,-1.64053e-05,0.000117097,-2.49619e-06,-5.92208e-06,-2.49619e-06,0.000198535,70.4723,802.301,77.8009,823.809,115.362,763.085
0.102983,0.0765206,0.111193,0.000118099,-9.18264e-06,-2.9602e-06,-9.18264e-06,8.78663e-05,-6.72176e-06,-2.9602e-06,-6.72176e-06,0.00012731,89.8013,872.004,68.5165,886.662,100.305,889.826
0.0917159,0.110615,0.12536,0.000112323,-9.9375e-06,-1.06896e-05,-9.9375e-06,0.000137436,-4.69853e-06,-1.06896e-05,-4.69853e-06,0.00015682,74.8892,816.535,90.7344,815.133,100.55,803.95
0.126963,0.0751979,0.113735,0.000158908,-9.54078e-06,-2.74304e-07,-9.54078e-06,9.17208e-05,-1.30718e-05,-2.74304e-07,-1.30718e-05,0.000139995,101.44,798.972,63.0752,831.871,94.0372,825.142
0.110615,0.0917159,0.12536,0.000137436,-9.9375e-06,-4.69853e-06,-9.9375e-06,0.000112323,-1.06896e-05,-4.69853e-06,-1.06896e-05,0.00015682,89.0284,804.847,76.0429,825.445,103.059,813.92
0.0917159,0.110615,0.12536,0.000112323,-9.9375e-06,-1.06896e-05,-9.9375e-06,0.000137436,-4.69853e-06,-1.06896e-05,-4.69853e-06,0.00015682,74.8892,816.535,86.5,795.886,99.2582,798.769
0.0878377,0.0939408,0.150482,0.000109482,-1.64053e-05,-5.92208e-06,-1.64053e-05,0.000117097,-2.49619e-06,-5.92208e-06,-2.49619e-06,0.000198535,70.4723,802.301,71.7811,791.296,112.759,754.427
