mu1,mu2,s1,s2,s3,s4,a1,b1,a2,b2
0.0292338,0.0934422,2.61687e-05,-1.13019e-07,-1.13019e-07,9.9031e-05,0,0,0,0
0.0455526,0.0376188,1.77973e-05,-1.29746e-06,-1.29746e-06,4.57507e-05,0,0,0,0
0.130628,0.0782287,4.44497e-05,7.01167e-06,7.01167e-06,8.68474e-05,0,0,0,0
0.0940214,0.034109,3.54654e-05,2.1032e-06,2.1032e-06,4.67624e-05,0,0,0,0
0.0424395,0.0905605,4.75278e-05,-9.63373e-07,-9.63373e-07,9.82055e-05,0,0,0,0
0.0931387,0.0346468,3.481e-05,2.05635e-06,2.05635e-06,4.68341e-05,0,0,0,0
0.0295177,0.0830111,2.61271e-05,-5.56148e-07,-5.56148e-07,8.712e-05,0,0,0,0
0.126034,0.0800824,4.29066e-05,6.65952e-06,6.65952e-06,8.83846e-05,0,0,0,0
0.0252923,0.0811648,2.52814e-05,-4.27406e-06,-4.27406e-06,8.71188e-05,0,0,0,0
0.0910275,0.0922756,3.98419e-05,4.86056e-07,4.86056e-07,9.96029e-05,0,0,0,0
0.023623,0.0820074,2.17589e-05,-3.79577e-06,-3.79577e-06,8.72296e-05,0,0,0,0
0.0714797,0.031582,2.99939e-05,1.58515e-07,1.58515e-07,4.53079e-05,0,0,0,0
0.0198104,0.0828014,1.76665e-05,-3.265e-06,-3.265e-06,8.78946e-05,0,0,0,0
0.0325313,0.0821797,3.60446e-05,-8.89779e-07,-8.89779e-07,8.82201e-05,0,0,0,0
0.0373427,0.0915474,3.80556e-05,-5.70965e-07,-5.70965e-07,9.82048e-05,0,0,0,0
0.113174,0.0807284,5.00213e-05,1.39182e-06,1.39182e-06,8.86225e-05,0,0,0,0
0.0416409,0.038082,1.48327e-05,-1.13622e-06,-1.13622e-06,4.56896e-05,0,0,0,0
0.0444883,0.037724,1.69584e-05,-1.25035e-06,-1.25035e-06,4.57289e-05,0,0,0,0
0.0893968,0.0841132,3.18816e-05,3.79408e-07,3.79408e-07,9.00427e-05,0,0,0,0
0.0886516,0.0836033,3.06158e-05,5.72169e-07,5.72169e-07,8.91649e-05,0,0,0,0
0.0452678,0.116602,6.09851e-05,-4.25209e-06,-4.25209e-06,0.000138311,0,0,0,0
0.0737916,0.0849181,2.10257e-05,3.36256e-07,3.36256e-07,8.89477e-05,0,0,0,0
0.0446845,0.0895713,5.27571e-05,-1.22004e-06,-1.22004e-06,9.78491e-05,0,0,0,0
0.119625,0.0800023,3.78625e-05,6.03328e-06,6.03328e-06,8.75684e-05,0,0,0,0
0.0371189,0.0810627,3.82178e-05,-1.05785e-06,-1.05785e-06,8.66776e-05,0,0,0,0
0.0341239,0.0928266,3.35424e-05,-3.36636e-07,-3.36636e-07,9.91356e-05,0,0,0,0
0.042074,0.0378781,1.53519e-05,-1.20325e-06,-1.20325e-06,4.61035e-05,0,0,0,0
0.0398283,0.117751,4.7993e-05,-3.45244e-06,-3.45244e-06,0.000137943,0,0,0,0
0.059824,0.0333459,2.65194e-05,-2.58689e-07,-2.58689e-07,4.63789e-05,0,0,0,0
0.0705731,0.120289,2.72155e-05,2.15118e-06,2.15118e-06,0.000138423,0,0,0,0
0.0212227,0.0826406,1.92413e-05,-3.48434e-06,-3.48434e-06,8.77722e-05,0,0,0,0
0.0298788,0.0827395,2.6363e-05,-5.71184e-07,-5.71184e-07,8.68135e-05,0,0,0,0
0.105233,0.0812519,2.92822e-05,4.81936e-06,4.81936e-06,8.72477e-05,0,0,0,0
0.0436691,0.0376914,1.65924e-05,-1.27996e-06,-1.27996e-06,4.62257e-05,0,0,0,0
0.118874,0.0808656,3.83325e-05,5.98955e-06,5.98955e-06,8.82837e-05,0,0,0,0
0.0644363,0.032896,2.45328e-05,5.63568e-08,5.63568e-08,4.5349e-05,0,0,0,0
