t logl dlogl ddlogl
0.668 -24.048 -3.92895 3.44928
0.669 -24.0519 -3.9255 3.44551
0.67 -24.0558 -3.92206 3.44173
0.671 -24.0598 -3.91862 3.43795
0.672 -24.0637 -3.91518 3.43418
0.673 -24.0676 -3.91175 3.4304
0.674 -24.0715 -3.90832 3.42663
0.675 -24.0754 -3.9049 3.42285
0.676 -24.0793 -3.90148 3.41908
0.677 -24.0832 -3.89806 3.41531
0.678 -24.0871 -3.89465 3.41154
0.679 -24.091 -3.89124 3.40777
0.68 -24.0949 -3.88783 3.40401
0.681 -24.0988 -3.88443 3.40024
0.682 -24.1027 -3.88103 3.39648
0.683 -24.1065 -3.87764 3.39271
0.684 -24.1104 -3.87424 3.38895
0.685 -24.1143 -3.87086 3.38519
0.686 -24.1182 -3.86747 3.38143
0.687 -24.122 -3.86409 3.37767
0.688 -24.1259 -3.86072 3.37391
0.689 -24.1297 -3.85735 3.37015
0.69 -24.1336 -3.85398 3.3664
0.691 -24.1375 -3.85061 3.36264
0.692 -24.1413 -3.84725 3.35889
0.693 -24.1451 -3.8439 3.35514
0.694 -24.149 -3.84054 3.35139
0.695 -24.1528 -3.83719 3.34764
0.696 -24.1567 -3.83385 3.34389
0.697 -24.1605 -3.83051 3.34015
0.698 -24.1643 -3.82717 3.3364
0.699 -24.1682 -3.82383 3.33266
0.7 -24.172 -3.8205 3.32892
0.701 -24.1758 -3.81718 3.32518
0.702 -24.1796 -3.81385 3.32144
0.703 -24.1834 -3.81053 3.3177
0.704 -24.1872 -3.80722 3.31396
0.705 -24.191 -3.8039 3.31023
0.706 -24.1948 -3.8006 3.30649
0.707 -24.1986 -3.79729 3.30276
0.708 -24.2024 -3.79399 3.29903
0.709 -24.2062 -3.79069 3.2953
0.71 -24.21 -3.7874 3.29158
0.711 -24.2138 -3.78411 3.28785
0.712 -24.2176 -3.78082 3.28413
0.713 -24.2214 -3.77754 3.28041
0.714 -24.2251 -3.77426 3.27668
0.715 -24.2289 -3.77099 3.27297
0.716 -24.2327 -3.76772 3.26925
0.717 -24.2364 -3.76445 3.26553
0.718 -24.2402 -3.76119 3.26182
0.719 -24.244 -3.75793 3.25811
0.72 -24.2477 -3.75467 3.25439
0.721 -24.2515 -3.75142 3.25069
0.722 -24.2552 -3.74817 3.24698
0.723 -24.259 -3.74492 3.24327
0.724 -24.2627 -3.74168 3.23957
0.725 -24.2665 -3.73844 3.23587
0.726 -24.2702 -3.73521 3.23217
0.727 -24.2739 -3.73198 3.22847
0.728 -24.2777 -3.72875 3.22477
0.729 -24.2814 -3.72553 3.22108
0.73 -24.2851 -3.72231 3.21738
0.731 -24.2888 -3.7191 3.21369
0.732 -24.2925 -3.71588 3.21
0.733 -24.2963 -3.71268 3.20632
0.734 -24.3 -3.70947 3.20263
0.735 -24.3037 -3.70627 3.19895
0.736 -24.3074 -3.70307 3.19527
0.737 -24.3111 -3.69988 3.19159
0.738 -24.3148 -3.69669 3.18791
0.739 -24.3185 -3.6935 3.18423
0.74 -24.3222 -3.69032 3.18056
0.741 -24.3259 -3.68714 3.17689
0.742 -24.3295 -3.68397 3.17322
0.743 -24.3332 -3.6808 3.16955
0.744 -24.3369 -3.67763 3.16589
0.745 -24.3406 -3.67447 3.16222
0.746 -24.3443 -3.6713 3.15856
0.747 -24.3479 -3.66815 3.1549
0.748 -24.3516 -3.66499 3.15124
0.749 -24.3553 -3.66185 3.14759
0.75 -24.3589 -3.6587 3.14393
0.751 -24.3626 -3.65556 3.14028
0.752 -24.3662 -3.65242 3.13663
0.753 -24.3699 -3.64928 3.13299
0.754 -24.3735 -3.64615 3.12934
0.755 -24.3772 -3.64303 3.1257
0.756 -24.3808 -3.6399 3.12206
0.757 -24.3844 -3.63678 3.11842
0.758 -24.3881 -3.63366 3.11479
0.759 -24.3917 -3.63055 3.11115
0.76 -24.3953 -3.62744 3.10752
0.761 -24.399 -3.62434 3.10389
0.762 -24.4026 -3.62123 3.10026
0.763 -24.4062 -3.61814 3.09664
0.764 -24.4098 -3.61504 3.09302
0.765 -24.4134 -3.61195 3.0894
0.766 -24.4171 -3.60886 3.08578
0.767 -24.4207 -3.60578 3.08216
0.768 -24.4243 -3.6027 3.07855
0.769 -24.4279 -3.59962 3.07494
0.77 -24.4315 -3.59655 3.07133
0.771 -24.4351 -3.59348 3.06772
0.772 -24.4387 -3.59041 3.06412
0.773 -24.4422 -3.58735 3.06052
0.774 -24.4458 -3.58429 3.05692
0.775 -24.4494 -3.58124 3.05332
0.776 -24.453 -3.57819 3.04973
0.777 -24.4566 -3.57514 3.04613
0.778 -24.4601 -3.57209 3.04255
0.779 -24.4637 -3.56905 3.03896
0.78 -24.4673 -3.56602 3.03537
0.781 -24.4708 -3.56298 3.03179
0.782 -24.4744 -3.55995 3.02821
0.783 -24.478 -3.55693 3.02463
0.784 -24.4815 -3.5539 3.02106
0.785 -24.4851 -3.55088 3.01749
0.786 -24.4886 -3.54787 3.01392
0.787 -24.4922 -3.54486 3.01035
0.788 -24.4957 -3.54185 3.00679
0.789 -24.4992 -3.53884 3.00322
0.79 -24.5028 -3.53584 2.99966
0.791 -24.5063 -3.53284 2.99611
0.792 -24.5099 -3.52985 2.99255
0.793 -24.5134 -3.52686 2.989
0.794 -24.5169 -3.52387 2.98545
0.795 -24.5204 -3.52089 2.9819
0.796 -24.5239 -3.51791 2.97836
0.797 -24.5275 -3.51493 2.97482
0.798 -24.531 -3.51196 2.97128
0.799 -24.5345 -3.50899 2.96774
0.8 -24.538 -3.50602 2.96421
0.801 -24.5415 -3.50306 2.96068
0.802 -24.545 -3.5001 2.95715
0.803 -24.5485 -3.49714 2.95362
0.804 -24.552 -3.49419 2.9501
0.805 -24.5555 -3.49124 2.94658
0.806 -24.559 -3.4883 2.94306
0.807 -24.5625 -3.48536 2.93955
0.808 -24.5659 -3.48242 2.93604
0.809 -24.5694 -3.47949 2.93253
0.81 -24.5729 -3.47656 2.92902
0.811 -24.5764 -3.47363 2.92552
0.812 -24.5799 -3.4707 2.92202
0.813 -24.5833 -3.46778 2.91852
0.814 -24.5868 -3.46487 2.91502
0.815 -24.5903 -3.46195 2.91153
0.816 -24.5937 -3.45904 2.90804
0.817 -24.5972 -3.45614 2.90455
0.818 -24.6006 -3.45323 2.90107
0.819 -24.6041 -3.45034 2.89759
0.82 -24.6075 -3.44744 2.89411
0.821 -24.611 -3.44455 2.89063
0.822 -24.6144 -3.44166 2.88716
0.823 -24.6179 -3.43877 2.88369
0.824 -24.6213 -3.43589 2.88022
0.825 -24.6247 -3.43301 2.87676
0.826 -24.6282 -3.43014 2.87329
0.827 -24.6316 -3.42727 2.86984
0.828 -24.635 -3.4244 2.86638
0.829 -24.6384 -3.42153 2.86293
0.83 -24.6419 -3.41867 2.85948
0.831 -24.6453 -3.41581 2.85603
0.832 -24.6487 -3.41296 2.85259
0.833 -24.6521 -3.41011 2.84914
0.834 -24.6555 -3.40726 2.84571
0.835 -24.6589 -3.40442 2.84227
0.836 -24.6623 -3.40158 2.83884
0.837 -24.6657 -3.39874 2.83541
0.838 -24.6691 -3.39591 2.83198
0.839 -24.6725 -3.39308 2.82856
0.84 -24.6759 -3.39025 2.82514
0.841 -24.6793 -3.38743 2.82172
0.842 -24.6827 -3.38461 2.81831
0.843 -24.6861 -3.38179 2.8149
0.844 -24.6894 -3.37898 2.81149
0.845 -24.6928 -3.37617 2.80808
0.846 -24.6962 -3.37336 2.80468
0.847 -24.6996 -3.37056 2.80128
0.848 -24.7029 -3.36776 2.79788
0.849 -24.7063 -3.36496 2.79449
0.85 -24.7097 -3.36217 2.7911
0.851 -24.713 -3.35938 2.78771
0.852 -24.7164 -3.35659 2.78433
0.853 -24.7197 -3.35381 2.78095
0.854 -24.7231 -3.35103 2.77757
0.855 -24.7264 -3.34826 2.7742
0.856 -24.7298 -3.34548 2.77083
0.857 -24.7331 -3.34271 2.76746
0.858 -24.7365 -3.33995 2.76409
0.859 -24.7398 -3.33719 2.76073
0.86 -24.7431 -3.33443 2.75737
0.861 -24.7465 -3.33167 2.75401
0.862 -24.7498 -3.32892 2.75066
0.863 -24.7531 -3.32617 2.74731
0.864 -24.7565 -3.32342 2.74396
0.865 -24.7598 -3.32068 2.74062
0.866 -24.7631 -3.31794 2.73728
0.867 -24.7664 -3.31521 2.73394
0.868 -24.7697 -3.31247 2.73061
0.869 -24.773 -3.30975 2.72728
0.87 -24.7764 -3.30702 2.72395
0.871 -24.7797 -3.3043 2.72063
0.872 -24.783 -3.30158 2.71731
0.873 -24.7863 -3.29886 2.71399
0.874 -24.7896 -3.29615 2.71067
0.875 -24.7929 -3.29344 2.70736
0.876 -24.7961 -3.29074 2.70405
0.877 -24.7994 -3.28803 2.70075
0.878 -24.8027 -3.28533 2.69745
0.879 -24.806 -3.28264 2.69415
0.88 -24.8093 -3.27995 2.69085
0.881 -24.8126 -3.27726 2.68756
0.882 -24.8158 -3.27457 2.68427
0.883 -24.8191 -3.27189 2.68099
0.884 -24.8224 -3.26921 2.6777
0.885 -24.8257 -3.26653 2.67443
0.886 -24.8289 -3.26386 2.67115
0.887 -24.8322 -3.26119 2.66788
0.888 -24.8354 -3.25852 2.66461
0.889 -24.8387 -3.25586 2.66134
0.89 -24.842 -3.2532 2.65808
0.891 -24.8452 -3.25055 2.65482
0.892 -24.8485 -3.24789 2.65157
0.893 -24.8517 -3.24524 2.64831
0.894 -24.8549 -3.2426 2.64506
0.895 -24.8582 -3.23995 2.64182
0.896 -24.8614 -3.23731 2.63858
0.897 -24.8647 -3.23467 2.63534
0.898 -24.8679 -3.23204 2.6321
0.899 -24.8711 -3.22941 2.62887
0.9 -24.8744 -3.22678 2.62564
0.901 -24.8776 -3.22416 2.62241
0.902 -24.8808 -3.22154 2.61919
0.903 -24.884 -3.21892 2.61597
0.904 -24.8872 -3.21631 2.61275
0.905 -24.8905 -3.2137 2.60954
0.906 -24.8937 -3.21109 2.60633
0.907 -24.8969 -3.20848 2.60313
0.908 -24.9001 -3.20588 2.59993
0.909 -24.9033 -3.20328 2.59673
0.91 -24.9065 -3.20069 2.59353
0.911 -24.9097 -3.1981 2.59034
0.912 -24.9129 -3.19551 2.58715
0.913 -24.9161 -3.19292 2.58396
0.914 -24.9193 -3.19034 2.58078
0.915 -24.9225 -3.18776 2.5776
0.916 -24.9256 -3.18518 2.57443
0.917 -24.9288 -3.18261 2.57126
0.918 -24.932 -3.18004 2.56809
0.919 -24.9352 -3.17747 2.56492
0.92 -24.9384 -3.17491 2.56176
0.921 -24.9415 -3.17235 2.55861
0.922 -24.9447 -3.16979 2.55545
0.923 -24.9479 -3.16724 2.5523
0.924 -24.951 -3.16469 2.54915
0.925 -24.9542 -3.16214 2.54601
0.926 -24.9574 -3.1596 2.54287
0.927 -24.9605 -3.15706 2.53973
0.928 -24.9637 -3.15452 2.5366
0.929 -24.9668 -3.15198 2.53347
0.93 -24.97 -3.14945 2.53034
0.931 -24.9731 -3.14692 2.52722
0.932 -24.9763 -3.1444 2.5241
0.933 -24.9794 -3.14187 2.52098
0.934 -24.9826 -3.13936 2.51787
0.935 -24.9857 -3.13684 2.51476
0.936 -24.9888 -3.13433 2.51165
0.937 -24.992 -3.13182 2.50855
0.938 -24.9951 -3.12931 2.50545
0.939 -24.9982 -3.1268 2.50236
0.94 -25.0014 -3.1243 2.49926
0.941 -25.0045 -3.12181 2.49618
0.942 -25.0076 -3.11931 2.49309
0.943 -25.0107 -3.11682 2.49001
0.944 -25.0138 -3.11433 2.48693
0.945 -25.0169 -3.11185 2.48386
0.946 -25.0201 -3.10936 2.48079
0.947 -25.0232 -3.10688 2.47772
0.948 -25.0263 -3.10441 2.47465
0.949 -25.0294 -3.10194 2.47159
0.95 -25.0325 -3.09946 2.46854
0.951 -25.0356 -3.097 2.46548
0.952 -25.0387 -3.09453 2.46244
0.953 -25.0418 -3.09207 2.45939
0.954 -25.0449 -3.08962 2.45635
0.955 -25.0479 -3.08716 2.45331
0.956 -25.051 -3.08471 2.45027
0.957 -25.0541 -3.08226 2.44724
0.958 -25.0572 -3.07981 2.44421
0.959 -25.0603 -3.07737 2.44119
0.96 -25.0633 -3.07493 2.43817
0.961 -25.0664 -3.0725 2.43515
0.962 -25.0695 -3.07006 2.43213
0.963 -25.0726 -3.06763 2.42912
0.964 -25.0756 -3.0652 2.42612
0.965 -25.0787 -3.06278 2.42311
0.966 -25.0818 -3.06036 2.42011
0.967 -25.0848 -3.05794 2.41712
0.968 -25.0879 -3.05552 2.41412
0.969 -25.0909 -3.05311 2.41113
0.97 -25.094 -3.0507 2.40815
0.971 -25.097 -3.04829 2.40517
0.972 -25.1001 -3.04589 2.40219
0.973 -25.1031 -3.04349 2.39921
0.974 -25.1062 -3.04109 2.39624
0.975 -25.1092 -3.0387 2.39327
0.976 -25.1122 -3.03631 2.39031
0.977 -25.1153 -3.03392 2.38735
0.978 -25.1183 -3.03153 2.38439
0.979 -25.1213 -3.02915 2.38144
0.98 -25.1244 -3.02677 2.37849
0.981 -25.1274 -3.02439 2.37554
0.982 -25.1304 -3.02202 2.3726
0.983 -25.1334 -3.01965 2.36966
0.984 -25.1365 -3.01728 2.36673
0.985 -25.1395 -3.01491 2.36379
0.986 -25.1425 -3.01255 2.36087
0.987 -25.1455 -3.01019 2.35794
0.988 -25.1485 -3.00783 2.35502
0.989 -25.1515 -3.00548 2.3521
0.99 -25.1545 -3.00313 2.34919
0.991 -25.1575 -3.00078 2.34628
0.992 -25.1605 -2.99844 2.34337
0.993 -25.1635 -2.9961 2.34047
0.994 -25.1665 -2.99376 2.33757
0.995 -25.1695 -2.99142 2.33467
0.996 -25.1725 -2.98909 2.33178
0.997 -25.1755 -2.98676 2.32889
0.998 -25.1785 -2.98443 2.32601
0.999 -25.1814 -2.9821 2.32313
1 -25.1844 -2.97978 2.32025
1.001 -25.1874 -2.97746 2.31737
1.002 -25.1904 -2.97515 2.3145
1.003 -25.1934 -2.97283 2.31164
1.004 -25.1963 -2.97052 2.30877
1.005 -25.1993 -2.96822 2.30591
1.006 -25.2023 -2.96591 2.30306
1.007 -25.2052 -2.96361 2.30021
1.008 -25.2082 -2.96131 2.29736
1.009 -25.2112 -2.95902 2.29451
1.01 -25.2141 -2.95672 2.29167
1.011 -25.2171 -2.95443 2.28883
1.012 -25.22 -2.95215 2.286
1.013 -25.223 -2.94986 2.28317
1.014 -25.2259 -2.94758 2.28034
1.015 -25.2289 -2.9453 2.27752
1.016 -25.2318 -2.94302 2.2747
1.017 -25.2348 -2.94075 2.27188
1.018 -25.2377 -2.93848 2.26907
1.019 -25.2406 -2.93621 2.26626
1.02 -25.2436 -2.93395 2.26346
1.021 -25.2465 -2.93169 2.26065
1.022 -25.2494 -2.92943 2.25786
1.023 -25.2524 -2.92717 2.25506
1.024 -25.2553 -2.92492 2.25227
1.025 -25.2582 -2.92267 2.24948
1.026 -25.2611 -2.92042 2.2467
1.027 -25.264 -2.91817 2.24392
1.028 -25.267 -2.91593 2.24114
1.029 -25.2699 -2.91369 2.23837
1.03 -25.2728 -2.91145 2.2356
1.031 -25.2757 -2.90922 2.23284
1.032 -25.2786 -2.90699 2.23008
1.033 -25.2815 -2.90476 2.22732
1.034 -25.2844 -2.90253 2.22456
1.035 -25.2873 -2.90031 2.22181
1.036 -25.2902 -2.89809 2.21906
1.037 -25.2931 -2.89587 2.21632
1.038 -25.296 -2.89366 2.21358
1.039 -25.2989 -2.89144 2.21085
1.04 -25.3018 -2.88923 2.20811
1.041 -25.3047 -2.88703 2.20538
1.042 -25.3076 -2.88482 2.20266
1.043 -25.3105 -2.88262 2.19994
1.044 -25.3133 -2.88042 2.19722
1.045 -25.3162 -2.87823 2.1945
1.046 -25.3191 -2.87604 2.19179
1.047 -25.322 -2.87384 2.18909
1.048 -25.3248 -2.87166 2.18638
1.049 -25.3277 -2.86947 2.18368
1.05 -25.3306 -2.86729 2.18099
1.051 -25.3334 -2.86511 2.17829
1.052 -25.3363 -2.86293 2.1756
1.053 -25.3392 -2.86076 2.17292
1.054 -25.342 -2.85859 2.17024
1.055 -25.3449 -2.85642 2.16756
1.056 -25.3477 -2.85425 2.16488
1.057 -25.3506 -2.85209 2.16221
1.058 -25.3534 -2.84993 2.15954
1.059 -25.3563 -2.84777 2.15688
1.06 -25.3591 -2.84561 2.15422
1.061 -25.362 -2.84346 2.15156
1.062 -25.3648 -2.84131 2.14891
1.063 -25.3677 -2.83916 2.14626
1.064 -25.3705 -2.83702 2.14362
1.065 -25.3733 -2.83488 2.14097
1.066 -25.3762 -2.83274 2.13834
1.067 -25.379 -2.8306 2.1357
1.068 -25.3818 -2.82846 2.13307
1.069 -25.3847 -2.82633 2.13044
1.07 -25.3875 -2.8242 2.12782
1.071 -25.3903 -2.82208 2.1252
1.072 -25.3931 -2.81995 2.12258
1.073 -25.396 -2.81783 2.11997
1.074 -25.3988 -2.81571 2.11736
1.075 -25.4016 -2.8136 2.11475
1.076 -25.4044 -2.81148 2.11215
1.077 -25.4072 -2.80937 2.10955
1.078 -25.41 -2.80726 2.10696
1.079 -25.4128 -2.80516 2.10436
1.08 -25.4156 -2.80306 2.10178
1.081 -25.4184 -2.80096 2.09919
1.082 -25.4212 -2.79886 2.09661
1.083 -25.424 -2.79676 2.09403
1.084 -25.4268 -2.79467 2.09146
1.085 -25.4296 -2.79258 2.08889
1.086 -25.4324 -2.79049 2.08632
1.087 -25.4352 -2.78841 2.08376
1.088 -25.438 -2.78632 2.0812
1.089 -25.4408 -2.78424 2.07865
1.09 -25.4435 -2.78217 2.07609
1.091 -25.4463 -2.78009 2.07354
1.092 -25.4491 -2.77802 2.071
1.093 -25.4519 -2.77595 2.06846
1.094 -25.4547 -2.77388 2.06592
1.095 -25.4574 -2.77182 2.06339
1.096 -25.4602 -2.76976 2.06086
1.097 -25.463 -2.7677 2.05833
1.098 -25.4657 -2.76564 2.05581
1.099 -25.4685 -2.76359 2.05329
1.1 -25.4713 -2.76153 2.05077
1.101 -25.474 -2.75948 2.04826
1.102 -25.4768 -2.75744 2.04575
1.103 -25.4795 -2.75539 2.04324
1.104 -25.4823 -2.75335 2.04074
1.105 -25.4851 -2.75131 2.03824
1.106 -25.4878 -2.74927 2.03575
1.107 -25.4905 -2.74724 2.03325
1.108 -25.4933 -2.74521 2.03077
1.109 -25.496 -2.74318 2.02828
1.11 -25.4988 -2.74115 2.0258
1.111 -25.5015 -2.73913 2.02332
1.112 -25.5043 -2.7371 2.02085
1.113 -25.507 -2.73508 2.01838
1.114 -25.5097 -2.73307 2.01591
1.115 -25.5125 -2.73105 2.01345
1.116 -25.5152 -2.72904 2.01099
1.117 -25.5179 -2.72703 2.00854
1.118 -25.5206 -2.72502 2.00608
1.119 -25.5234 -2.72302 2.00363
1.12 -25.5261 -2.72102 2.00119
1.121 -25.5288 -2.71902 1.99875
1.122 -25.5315 -2.71702 1.99631
1.123 -25.5342 -2.71502 1.99387
1.124 -25.537 -2.71303 1.99144
1.125 -25.5397 -2.71104 1.98902
1.126 -25.5424 -2.70905 1.98659
1.127 -25.5451 -2.70707 1.98417
1.128 -25.5478 -2.70508 1.98175
1.129 -25.5505 -2.7031 1.97934
1.13 -25.5532 -2.70113 1.97693
1.131 -25.5559 -2.69915 1.97452
1.132 -25.5586 -2.69718 1.97212
1.133 -25.5613 -2.69521 1.96972
1.134 -25.564 -2.69324 1.96733
1.135 -25.5667 -2.69127 1.96493
1.136 -25.5694 -2.68931 1.96254
1.137 -25.5721 -2.68735 1.96016
1.138 -25.5747 -2.68539 1.95778
1.139 -25.5774 -2.68343 1.9554
1.14 -25.5801 -2.68148 1.95302
1.141 -25.5828 -2.67952 1.95065
1.142 -25.5855 -2.67757 1.94828
1.143 -25.5882 -2.67563 1.94592
1.144 -25.5908 -2.67368 1.94356
1.145 -25.5935 -2.67174 1.9412
1.146 -25.5962 -2.6698 1.93885
1.147 -25.5988 -2.66786 1.93649
1.148 -25.6015 -2.66593 1.93415
1.149 -25.6042 -2.66399 1.9318
1.15 -25.6068 -2.66206 1.92946
1.151 -25.6095 -2.66014 1.92713
1.152 -25.6122 -2.65821 1.92479
1.153 -25.6148 -2.65629 1.92246
1.154 -25.6175 -2.65436 1.92014
1.155 -25.6201 -2.65245 1.91781
1.156 -25.6228 -2.65053 1.91549
1.157 -25.6254 -2.64861 1.91318
1.158 -25.6281 -2.6467 1.91087
1.159 -25.6307 -2.64479 1.90856
1.16 -25.6334 -2.64289 1.90625
1.161 -25.636 -2.64098 1.90395
1.162 -25.6386 -2.63908 1.90165
1.163 -25.6413 -2.63718 1.89935
1.164 -25.6439 -2.63528 1.89706
1.165 -25.6465 -2.63338 1.89477
1.166 -25.6492 -2.63149 1.89249
1.167 -25.6518 -2.6296 1.89021
1.168 -25.6544 -2.62771 1.88793
1.169 -25.6571 -2.62582 1.88565
1.17 -25.6597 -2.62394 1.88338
1.171 -25.6623 -2.62206 1.88111
1.172 -25.6649 -2.62018 1.87885
1.173 -25.6676 -2.6183 1.87659
1.174 -25.6702 -2.61642 1.87433
1.175 -25.6728 -2.61455 1.87208
1.176 -25.6754 -2.61268 1.86982
1.177 -25.678 -2.61081 1.86758
1.178 -25.6806 -2.60894 1.86533
1.179 -25.6832 -2.60708 1.86309
1.18 -25.6858 -2.60522 1.86085
1.181 -25.6884 -2.60336 1.85862
1.182 -25.691 -2.6015 1.85639
1.183 -25.6936 -2.59964 1.85416
1.184 -25.6962 -2.59779 1.85194
1.185 -25.6988 -2.59594 1.84972
1.186 -25.7014 -2.59409 1.8475
1.187 -25.704 -2.59225 1.84529
1.188 -25.7066 -2.5904 1.84308
1.189 -25.7092 -2.58856 1.84087
1.19 -25.7118 -2.58672 1.83867
1.191 -25.7144 -2.58488 1.83646
1.192 -25.717 -2.58305 1.83427
1.193 -25.7195 -2.58121 1.83207
1.194 -25.7221 -2.57938 1.82988
1.195 -25.7247 -2.57755 1.8277
1.196 -25.7273 -2.57573 1.82551
1.197 -25.7299 -2.5739 1.82333
1.198 -25.7324 -2.57208 1.82116
1.199 -25.735 -2.57026 1.81898
1.2 -25.7376 -2.56844 1.81681
1.201 -25.7401 -2.56663 1.81464
1.202 -25.7427 -2.56481 1.81248
1.203 -25.7453 -2.563 1.81032
1.204 -25.7478 -2.56119 1.80816
1.205 -25.7504 -2.55939 1.80601
1.206 -25.753 -2.55758 1.80386
1.207 -25.7555 -2.55578 1.80171
1.208 -25.7581 -2.55398 1.79957
1.209 -25.7606 -2.55218 1.79743
1.21 -25.7632 -2.55038 1.79529
1.211 -25.7657 -2.54859 1.79316
1.212 -25.7683 -2.5468 1.79102
1.213 -25.7708 -2.54501 1.7889
1.214 -25.7734 -2.54322 1.78677
1.215 -25.7759 -2.54143 1.78465
1.216 -25.7784 -2.53965 1.78253
1.217 -25.781 -2.53787 1.78042
1.218 -25.7835 -2.53609 1.77831
1.219 -25.786 -2.53431 1.7762
1.22 -25.7886 -2.53254 1.7741
1.221 -25.7911 -2.53076 1.772
1.222 -25.7936 -2.52899 1.7699
1.223 -25.7962 -2.52722 1.7678
1.224 -25.7987 -2.52546 1.76571
1.225 -25.8012 -2.52369 1.76362
1.226 -25.8037 -2.52193 1.76154
1.227 -25.8063 -2.52017 1.75946
1.228 -25.8088 -2.51841 1.75738
1.229 -25.8113 -2.51665 1.7553
1.23 -25.8138 -2.5149 1.75323
1.231 -25.8163 -2.51315 1.75116
1.232 -25.8188 -2.5114 1.7491
1.233 -25.8214 -2.50965 1.74703
1.234 -25.8239 -2.5079 1.74497
1.235 -25.8264 -2.50616 1.74292
1.236 -25.8289 -2.50442 1.74087
1.237 -25.8314 -2.50268 1.73882
1.238 -25.8339 -2.50094 1.73677
1.239 -25.8364 -2.4992 1.73473
1.24 -25.8389 -2.49747 1.73269
1.241 -25.8414 -2.49574 1.73065
1.242 -25.8439 -2.49401 1.72862
1.243 -25.8464 -2.49228 1.72659
1.244 -25.8489 -2.49056 1.72456
1.245 -25.8513 -2.48883 1.72253
1.246 -25.8538 -2.48711 1.72051
1.247 -25.8563 -2.48539 1.7185
1.248 -25.8588 -2.48367 1.71648
1.249 -25.8613 -2.48196 1.71447
1.25 -25.8638 -2.48024 1.71246
1.251 -25.8662 -2.47853 1.71046
1.252 -25.8687 -2.47682 1.70845
1.253 -25.8712 -2.47512 1.70646
1.254 -25.8737 -2.47341 1.70446
1.255 -25.8761 -2.47171 1.70247
1.256 -25.8786 -2.47001 1.70048
1.257 -25.8811 -2.46831 1.69849
1.258 -25.8836 -2.46661 1.69651
1.259 -25.886 -2.46491 1.69453
1.26 -25.8885 -2.46322 1.69255
1.261 -25.8909 -2.46153 1.69058
1.262 -25.8934 -2.45984 1.68861
1.263 -25.8959 -2.45815 1.68664
1.264 -25.8983 -2.45647 1.68468
1.265 -25.9008 -2.45478 1.68272
1.266 -25.9032 -2.4531 1.68076
1.267 -25.9057 -2.45142 1.6788
1.268 -25.9081 -2.44974 1.67685
1.269 -25.9106 -2.44807 1.6749
1.27 -25.913 -2.44639 1.67296
1.271 -25.9155 -2.44472 1.67101
1.272 -25.9179 -2.44305 1.66907
1.273 -25.9204 -2.44138 1.66714
1.274 -25.9228 -2.43972 1.6652
1.275 -25.9252 -2.43805 1.66327
1.276 -25.9277 -2.43639 1.66135
1.277 -25.9301 -2.43473 1.65942
1.278 -25.9326 -2.43307 1.6575
1.279 -25.935 -2.43141 1.65558
1.28 -25.9374 -2.42976 1.65367
1.281 -25.9398 -2.42811 1.65175
1.282 -25.9423 -2.42646 1.64985
1.283 -25.9447 -2.42481 1.64794
1.284 -25.9471 -2.42316 1.64604
1.285 -25.9495 -2.42152 1.64414
1.286 -25.952 -2.41987 1.64224
1.287 -25.9544 -2.41823 1.64035
1.288 -25.9568 -2.41659 1.63846
1.289 -25.9592 -2.41495 1.63657
1.29 -25.9616 -2.41332 1.63468
1.291 -25.964 -2.41168 1.6328
1.292 -25.9665 -2.41005 1.63092
1.293 -25.9689 -2.40842 1.62905
1.294 -25.9713 -2.40679 1.62717
1.295 -25.9737 -2.40517 1.6253
1.296 -25.9761 -2.40354 1.62344
1.297 -25.9785 -2.40192 1.62157
1.298 -25.9809 -2.4003 1.61971
1.299 -25.9833 -2.39868 1.61785
1.3 -25.9857 -2.39706 1.616
1.301 -25.9881 -2.39545 1.61415
1.302 -25.9905 -2.39384 1.6123
1.303 -25.9929 -2.39223 1.61045
1.304 -25.9953 -2.39062 1.60861
1.305 -25.9976 -2.38901 1.60677
1.306 -26 -2.3874 1.60493
1.307 -26.0024 -2.3858 1.6031
1.308 -26.0048 -2.3842 1.60127
1.309 -26.0072 -2.3826 1.59944
1.31 -26.0096 -2.381 1.59761
1.311 -26.012 -2.3794 1.59579
1.312 -26.0143 -2.37781 1.59397
1.313 -26.0167 -2.37621 1.59216
1.314 -26.0191 -2.37462 1.59034
1.315 -26.0215 -2.37303 1.58853
1.316 -26.0238 -2.37144 1.58672
1.317 -26.0262 -2.36986 1.58492
1.318 -26.0286 -2.36827 1.58312
1.319 -26.0309 -2.36669 1.58132
1.32 -26.0333 -2.36511 1.57952
1.321 -26.0357 -2.36353 1.57773
1.322 -26.038 -2.36196 1.57594
1.323 -26.0404 -2.36038 1.57415
1.324 -26.0427 -2.35881 1.57237
1.325 -26.0451 -2.35724 1.57058
1.326 -26.0475 -2.35567 1.56881
1.327 -26.0498 -2.3541 1.56703
1.328 -26.0522 -2.35253 1.56526
1.329 -26.0545 -2.35097 1.56349
1.33 -26.0569 -2.34941 1.56172
1.331 -26.0592 -2.34784 1.55995
1.332 -26.0616 -2.34629 1.55819
1.333 -26.0639 -2.34473 1.55643
1.334 -26.0663 -2.34317 1.55468
1.335 -26.0686 -2.34162 1.55293
1.336 -26.0709 -2.34007 1.55117
