tree tree0 logl logliknew logTop logProp logPrior logWt
(1,2,(3,(4,(5,6)))); ((3,(2,1)),4,(5,6)); -4541.33 -4541.33 -1.00705 22.1885 13.0081 -4549.5
(1,2,(3,(4,(5,6)))); ((3,(1,2)),4,(5,6)); -4538.39 -4538.39 -1.00705 25.4146 13.739 -4549.06
(1,2,(3,(4,(5,6)))); ((4,(6,5)),(1,2),3); -4535.23 -4535.23 -1.00705 28.5063 13.4503 -4549.28
(1,2,(3,((4,6),5))); (((3,(1,2)),5),6,4); -4533.91 -4533.91 -1.66192 30.2202 13.8588 -4548.61
(1,(2,3),(4,(5,6))); ((4,(6,5)),(3,2),1); -4536.55 -4536.55 -1.2543 30.1831 13.1116 -4552.37
(1,2,(3,(4,(5,6)))); (((6,5),4),(2,1),3); -4535.24 -4535.24 -1.00705 28.2816 13.6535 -4548.86
(1,2,(3,(4,(5,6)))); (5,(4,((1,2),3)),6); -4536.19 -4536.19 -1.00705 26.9441 13.169 -4548.96
(1,(2,3),(4,(5,6))); ((4,(6,5)),(2,3),1); -4543.63 -4543.63 -1.2543 23.2349 13.4234 -4552.18
(1,2,(3,(4,(5,6)))); ((4,(6,5)),(1,2),3); -4531.97 -4531.97 -1.00705 31.5881 13.627 -4548.93
(1,(2,3),(4,(5,6))); ((((2,3),1),4),6,5); -4537.46 -4537.46 -1.2543 29.9458 13.6516 -4552.5
(1,2,(3,(4,(5,6)))); ((6,5),(3,(2,1)),4); -4534.87 -4534.87 -1.00705 28.6218 13.5969 -4548.89
(1,(2,3),((4,6),5)); ((((2,3),1),5),6,4); -4541.53 -4541.53 -1.90918 29.7336 12.9861 -4556.36
(1,(2,3),(4,(5,6))); ((1,(3,2)),(5,6),4); -4537.41 -4537.41 -1.2543 30.1885 14.0331 -4552.31
(1,(2,3),((4,6),5)); (((4,6),5),(2,3),1); -4541.88 -4541.88 -1.90918 31.3099 13.883 -4557.4
(1,(2,3),((4,6),5)); ((1,(3,2)),5,(6,4)); -4542.2 -4542.2 -1.90918 29.576 13.5394 -4556.33
(1,2,(3,(4,(5,6)))); (((3,(1,2)),4),6,5); -4537.09 -4537.09 -1.00705 26.8318 13.4045 -4549.51
(1,(2,3),(4,(5,6))); ((5,6),((3,2),1),4); -4535.85 -4535.85 -1.2543 31.3576 13.4319 -4552.52
(1,2,(3,((4,6),5))); ((5,(6,4)),3,(2,1)); -4532.82 -4532.82 -1.66192 30.9589 13.5361 -4548.58
(1,2,(3,(4,(5,6)))); (3,(2,1),((5,6),4)); -4534.77 -4534.77 -1.00705 28.7307 13.3237 -4549.17
(1,2,(3,((4,6),5))); (6,4,((3,(1,2)),5)); -4537.39 -4537.39 -1.66192 26.697 14.042 -4548.38
(1,(2,3),((4,6),5)); (6,4,(((2,3),1),5)); -4542 -4542 -1.90918 30.1372 13.4282 -4556.8
(1,(2,3),((4,6),5)); (4,(5,(1,(2,3))),6); -4546.94 -4546.94 -1.90918 24.8149 13.4326 -4556.41
(1,(2,3),((4,6),5)); (4,6,(((3,2),1),5)); -4542.99 -4542.99 -1.90918 28.5331 13.2426 -4556.37
(1,(2,3),((4,6),5)); (2,3,(1,((4,6),5))); -4542.14 -4542.14 -1.90918 30.8461 13.6022 -4557.47
(1,(2,3),(4,(5,6))); (5,(((2,3),1),4),6); -4539.76 -4539.76 -1.2543 27.3951 13.4673 -4552.43
(1,2,(3,((4,6),5))); ((3,(5,(4,6))),2,1); -4536.48 -4536.48 -1.66192 27.2239 13.2875 -4548.76
(1,(2,3),(4,(5,6))); ((1,(3,2)),4,(6,5)); -4536.46 -4536.46 -1.2543 31.0127 13.6912 -4552.52
(1,(2,3),(4,(5,6))); (2,3,(1,(4,(6,5)))); -4540.95 -4540.95 -1.2543 27.0025 14.0266 -4552.67
(1,2,(3,(4,(5,6)))); ((3,(2,1)),(5,6),4); -4535.55 -4535.55 -1.00705 28.7156 13.8693 -4549.39
(1,2,(3,(4,(5,6)))); (5,6,(((2,1),3),4)); -4534.82 -4534.82 -1.00705 29.399 13.9662 -4549.24
(1,2,(3,((4,6),5))); (((6,4),5),3,(2,1)); -4538.85 -4538.85 -1.66192 25.1002 13.6684 -4548.62
(1,2,(3,((4,6),5))); (3,((4,6),5),(1,2)); -4538.28 -4538.28 -1.66192 25.8471 13.5369 -4548.93
(1,2,(3,(4,(5,6)))); (((3,(2,1)),4),5,6); -4536.42 -4536.42 -1.00705 27.343 13.4835 -4549.27
(1,(2,3),((4,6),5)); ((((3,2),1),5),4,6); -4543.26 -4543.26 -1.90918 29.7483 14.0783 -4557.02
(1,2,(3,(4,(5,6)))); (2,(((6,5),4),3),1); -4537.4 -4537.4 -1.00705 26.936 13.8451 -4549.48
(1,(2,3),(4,(5,6))); (3,2,((4,(6,5)),1)); -4534.21 -4534.21 -1.2543 33.0257 13.5811 -4552.4
(1,2,(3,(4,(5,6)))); (((3,(1,2)),4),6,5); -4532.7 -4532.7 -1.00705 31.4333 13.9374 -4549.19
(1,2,(3,(4,(5,6)))); ((4,(5,6)),3,(1,2)); -4533.22 -4533.22 -1.00705 30.8166 13.6755 -4549.35
(1,(2,3),(4,(5,6))); (((1,(2,3)),4),5,6); -4540.93 -4540.93 -1.2543 26.0789 13.42 -4552.34
(1,2,(3,(4,(5,6)))); ((3,(1,2)),(6,5),4); -4531.7 -4531.7 -1.00705 32.0344 13.4587 -4549.27
(1,2,(3,((4,6),5))); (((1,2),3),(6,4),5); -4532.41 -4532.41 -1.66192 31.2323 13.3803 -4548.6
(1,(2,3),(4,(5,6))); ((2,3),1,((5,6),4)); -4542.23 -4542.23 -1.2543 24.8837 13.2912 -4552.57
(1,(2,3),(4,(5,6))); (1,((6,5),4),(3,2)); -4540.22 -4540.22 -1.2543 26.9957 13.7436 -4552.21
(1,(2,3),(4,(5,6))); ((6,5),4,(1,(2,3))); -4537.61 -4537.61 -1.2543 28.8102 13.2738 -4551.89
(1,2,(3,((4,6),5))); ((((2,1),3),5),4,6); -4534.71 -4534.71 -1.66192 29.2613 13.4776 -4548.84
(1,2,(3,((4,6),5))); ((5,(3,(1,2))),4,6); -4536.49 -4536.49 -1.66192 27.9244 14.1661 -4548.59
(1,2,(3,(4,(5,6)))); (((1,2),3),4,(5,6)); -4533.64 -4533.64 -1.00705 29.8266 13.4575 -4549
(1,2,(3,(4,(5,6)))); (((6,5),4),3,(1,2)); -4535.2 -4535.2 -1.00705 28.2453 13.0732 -4549.36
(1,(2,3),((4,6),5)); (1,(5,(4,6)),(3,2)); -4541.25 -4541.25 -1.90918 31.376 13.3964 -4557.32
(1,(2,3),((4,6),5)); ((5,(4,6)),1,(2,3)); -4543.63 -4543.63 -1.90918 27.8657 13.2267 -4556.36
(1,2,(3,((4,6),5))); ((5,(4,6)),(2,1),3); -4531.46 -4531.46 -1.66192 32.7572 13.6655 -4548.89
(1,2,(3,((4,6),5))); (3,((6,4),5),(1,2)); -4535.98 -4535.98 -1.66192 27.986 13.8611 -4548.44
(1,2,(3,((4,6),5))); (4,(5,((2,1),3)),6); -4534.76 -4534.76 -1.66192 29.6861 13.8123 -4548.97
(1,(2,3),(4,(5,6))); (6,5,(4,(1,(2,3)))); -4545.53 -4545.53 -1.2543 22.5315 14.4613 -4552.34
(1,(2,3),(4,(5,6))); (6,(((2,3),1),4),5); -4538.31 -4538.31 -1.2543 28.7617 13.465 -4552.36
(1,(2,3),((4,6),5)); (6,4,(((2,3),1),5)); -4541 -4541 -1.90918 31.7183 13.5192 -4557.29
(1,(2,3),(4,(5,6))); ((4,(6,5)),1,(3,2)); -4539.39 -4539.39 -1.2543 28.3578 14.0395 -4552.45
(1,2,(3,((4,6),5))); (4,6,(5,((2,1),3))); -4533.91 -4533.91 -1.66192 30.0565 13.6367 -4548.67
(1,(2,3),(4,(5,6))); (6,(4,((2,3),1)),5); -4537.82 -4537.82 -1.2543 30.0781 13.9182 -4552.73
(1,2,(3,((4,6),5))); (((6,4),5),3,(2,1)); -4531.38 -4531.38 -1.66192 32.8921 13.6988 -4548.91
(1,(2,3),((4,6),5)); (2,(1,((4,6),5)),3); -4542.09 -4542.09 -1.90918 29.9837 13.2222 -4556.94
(1,2,(3,((4,6),5))); (5,(3,(2,1)),(4,6)); -4535.05 -4535.05 -1.66192 29.078 13.6387 -4548.82
(1,2,(3,(4,(5,6)))); ((6,5),((2,1),3),4); -4535.48 -4535.48 -1.00705 27.9223 13.6827 -4548.71
(1,2,(3,(4,(5,6)))); (3,((6,5),4),(1,2)); -4533.85 -4533.85 -1.00705 29.6911 13.5264 -4549.01
(1,(2,3),(4,(5,6))); ((3,2),1,((6,5),4)); -4540.08 -4540.08 -1.2543 27.3814 13.5785 -4552.63
(1,2,(3,((4,6),5))); (5,(3,(2,1)),(4,6)); -4534.14 -4534.14 -1.66192 29.3032 13.276 -4548.5
(1,(2,3),((4,6),5)); (4,6,(5,((2,3),1))); -4539.8 -4539.8 -1.90918 32.6744 13.6941 -4556.87
(1,(2,3),(4,(5,6))); ((1,(4,(5,6))),3,2); -4535.91 -4535.91 -1.2543 31.3792 13.5164 -4552.52
(1,(2,3),(4,(5,6))); ((6,5),(1,(3,2)),4); -4540.77 -4540.77 -1.2543 25.5985 13.211 -4551.91
(1,(2,3),(4,(5,6))); ((1,(3,2)),(6,5),4); -4538.81 -4538.81 -1.2543 27.6502 13.1239 -4552.08
(1,2,(3,((4,6),5))); ((5,((2,1),3)),4,6); -4536.46 -4536.46 -1.66192 26.6614 13.4132 -4548.04
(1,(2,3),((4,6),5)); (3,2,(((6,4),5),1)); -4539.69 -4539.69 -1.90918 32.5541 13.6927 -4556.64
(1,2,(3,(4,(5,6)))); ((2,1),((6,5),4),3); -4536.68 -4536.68 -1.00705 27.53 13.9235 -4549.28
(1,2,(3,(4,(5,6)))); ((1,2),((5,6),4),3); -4539.8 -4539.8 -1.00705 21.7038 13.4502 -4547.04
(1,2,(3,((4,6),5))); (3,((4,6),5),(2,1)); -4532.37 -4532.37 -1.66192 31.523 13.5945 -4548.64
(1,2,(3,((4,6),5))); ((((6,4),5),3),1,2); -4533.76 -4533.76 -1.66192 30.2084 13.7811 -4548.53
(1,(2,3),(4,(5,6))); ((6,5),4,(1,(3,2))); -4542.49 -4542.49 -1.2543 24.1751 13.3123 -4552.09
(1,2,(3,(4,(5,6)))); (5,6,(4,(3,(1,2)))); -4537.16 -4537.16 -1.00705 26.6112 13.628 -4549.14
(1,(2,3),(4,(5,6))); ((2,3),((6,5),4),1); -4537.28 -4537.28 -1.2543 29.9545 13.634 -4552.34
(1,(2,3),(4,(5,6))); (1,(2,3),((5,6),4)); -4540.66 -4540.66 -1.2543 26.8794 13.8566 -4552.43
(1,2,(3,(4,(5,6)))); (6,(4,(3,(2,1))),5); -4533.81 -4533.81 -1.00705 29.3424 13.4249 -4548.72
(1,(2,3),(4,(5,6))); (6,(4,(1,(2,3))),5); -4539.14 -4539.14 -1.2543 28.8708 13.7186 -4553.04
(1,(2,3),(4,(5,6))); (1,(2,3),(4,(6,5))); -4538.76 -4538.76 -1.2543 28.4757 13.5633 -4552.42
(1,(2,3),(4,(5,6))); (5,6,(4,((3,2),1))); -4543.47 -4543.47 -1.2543 22.9143 13.5556 -4551.57
(1,(2,3),(4,(5,6))); (1,(2,3),((5,6),4)); -4535.2 -4535.2 -1.2543 31.4133 13.5 -4551.86
(1,2,(3,(4,(5,6)))); (2,(((6,5),4),3),1); -4532.06 -4532.06 -1.00705 31.3627 13.338 -4549.08
(1,2,(3,(4,(5,6)))); (6,5,(((1,2),3),4)); -4535.05 -4535.05 -1.00705 28.2563 13.0775 -4549.22
(1,2,(3,(4,(5,6)))); (((4,(6,5)),3),2,1); -4533.87 -4533.87 -1.00705 29.8083 13.2843 -4549.39
(1,2,(3,(4,(5,6)))); (6,(4,(3,(1,2))),5); -4535.8 -4535.8 -1.00705 28.3526 13.6011 -4549.55
(1,2,(3,((4,6),5))); ((5,(6,4)),3,(1,2)); -4535.81 -4535.81 -1.66192 29.1818 14.3543 -4548.98
(1,(2,3),(4,(5,6))); (3,(((5,6),4),1),2); -4539.64 -4539.64 -1.2543 27.4944 13.8373 -4552.04
(1,(2,3),(4,(5,6))); ((1,(3,2)),4,(5,6)); -4537.5 -4537.5 -1.2543 29.2769 13.5581 -4551.96
(1,2,(3,(4,(5,6)))); (5,6,(((2,1),3),4)); -4534.52 -4534.52 -1.00705 29.5113 13.8262 -4549.2
(1,2,(3,(4,(5,6)))); (6,(4,(3,(1,2))),5); -4536.52 -4536.52 -1.00705 26.3154 12.8637 -4548.97
(1,(2,3),((4,6),5)); (1,(3,2),((4,6),5)); -4542.07 -4542.07 -1.90918 29.5 13.2319 -4556.43
(1,2,(3,(4,(5,6)))); ((4,(6,5)),(1,2),3); -4535.91 -4535.91 -1.00705 28.5856 13.9161 -4549.58
(1,2,(3,(4,(5,6)))); (2,((4,(6,5)),3),1); -4533.12 -4533.12 -1.00705 30.6273 13.8287 -4548.91
(1,2,(3,((4,6),5))); ((5,(6,4)),3,(2,1)); -4533.43 -4533.43 -1.66192 30.8144 14.0479 -4548.53
(1,2,(3,(4,(5,6)))); (5,6,((3,(2,1)),4)); -4533.76 -4533.76 -1.00705 29.4457 13.4247 -4548.78
(1,(2,3),(4,(5,6))); ((1,(3,2)),4,(5,6)); -4540.8 -4540.8 -1.2543 25.6939 13.2005 -4552.04
(1,(2,3),((4,6),5)); ((5,((3,2),1)),6,4); -4544.69 -4544.69 -1.90918 26.8738 13.4821 -4556.17
(1,(2,3),((4,6),5)); ((2,3),1,((6,4),5)); -4544.85 -4544.85 -1.90918 28.4773 14.0874 -4557.33
(1,2,(3,(4,(5,6)))); (6,((3,(2,1)),4),5); -4536.74 -4536.74 -1.00705 26.3974 13.2574 -4548.87
(1,(2,3),((4,6),5)); (1,((6,4),5),(3,2)); -4542.2 -4542.2 -1.90918 30.2417 13.6076 -4556.92
(1,2,(3,((4,6),5))); (1,2,(3,((4,6),5))); -4534.96 -4534.96 -1.66192 29.6916 13.7614 -4549.23
(1,2,(3,((4,6),5))); ((1,2),((4,6),5),3); -4532 -4532 -1.66192 31.778 13.4516 -4548.66
(1,2,(3,(4,(5,6)))); (((4,(6,5)),3),1,2); -4535.67 -4535.67 -1.00705 29.0291 13.8352 -4549.86
(1,2,(3,((4,6),5))); (((4,6),5),3,(1,2)); -4537.16 -4537.16 -1.66192 27.4645 13.9567 -4549
(1,2,(3,(4,(5,6)))); (1,2,((4,(5,6)),3)); -4532.76 -4532.76 -1.00705 30.1341 13.2647 -4548.62
(1,(2,3),(4,(5,6))); ((5,6),4,(1,(2,3))); -4534.63 -4534.63 -1.2543 32.5785 13.6767 -4552.28
(1,2,(3,(4,(5,6)))); (3,(2,1),(4,(5,6))); -4534.06 -4534.06 -1.00705 29.3504 13.6637 -4548.74
(1,2,(3,(4,(5,6)))); (((4,(6,5)),3),2,1); -4534.37 -4534.37 -1.00705 29.0722 13.5549 -4548.88
(1,2,(3,((4,6),5))); ((4,6),5,(3,(1,2))); -4533.52 -4533.52 -1.66192 29.6558 13.2501 -4548.26
(1,(2,3),(4,(5,6))); ((1,((6,5),4)),2,3); -4540.69 -4540.69 -1.2543 27.1112 14.0193 -4552.53
(1,2,(3,(4,(5,6)))); ((4,((2,1),3)),6,5); -4534.01 -4534.01 -1.00705 29.8115 13.675 -4549.14
(1,(2,3),(4,(5,6))); ((((6,5),4),1),2,3); -4537.91 -4537.91 -1.2543 29.1787 13.3978 -4552.44
(1,(2,3),((4,6),5)); ((4,6),5,(1,(3,2))); -4539.68 -4539.68 -1.90918 32.3138 13.2993 -4556.79
(1,2,(3,(4,(5,6)))); (5,6,((3,(1,2)),4)); -4531.75 -4531.75 -1.00705 31.6662 13.4278 -4548.99
(1,2,(3,((4,6),5))); (2,((5,(6,4)),3),1); -4532.09 -4532.09 -1.66192 32.2098 13.8177 -4548.82
(1,2,(3,(4,(5,6)))); (((2,1),3),(5,6),4); -4533.51 -4533.51 -1.00705 29.9376 13.521 -4548.92
(1,2,(3,((4,6),5))); ((1,2),((6,4),5),3); -4535.68 -4535.68 -1.66192 27.8053 13.3221 -4548.5
(1,(2,3),(4,(5,6))); (((3,2),1),4,(6,5)); -4540.76 -4540.76 -1.2543 26.2703 13.2626 -4552.51
(1,2,(3,(4,(5,6)))); (5,6,((3,(2,1)),4)); -4532.45 -4532.45 -1.00705 31.2782 13.688 -4549.04
(1,2,(3,((4,6),5))); (4,(((1,2),3),5),6); -4539.88 -4539.88 -1.66192 23.8504 13.279 -4548.79
(1,2,(3,((4,6),5))); (((2,1),3),(4,6),5); -4532 -4532 -1.66192 32.0976 13.601 -4548.84
(1,2,(3,((4,6),5))); (3,(2,1),(5,(6,4))); -4534.84 -4534.84 -1.66192 29.482 13.873 -4548.78
(1,(2,3),((4,6),5)); (((5,(4,6)),1),3,2); -4542.16 -4542.16 -1.90918 30.5436 13.7052 -4557.09
(1,(2,3),(4,(5,6))); ((4,(6,5)),1,(3,2)); -4537.18 -4537.18 -1.2543 30.2604 13.3854 -4552.8
(1,2,(3,(4,(5,6)))); ((4,((1,2),3)),5,6); -4534.9 -4534.9 -1.00705 28.3992 13.2608 -4549.03
(1,2,(3,(4,(5,6)))); ((3,(4,(6,5))),1,2); -4532.23 -4532.23 -1.00705 31.3992 13.263 -4549.36
(1,2,(3,((4,6),5))); ((5,(3,(1,2))),4,6); -4533.51 -4533.51 -1.66192 30.5495 13.583 -4548.82
(1,2,(3,(4,(5,6)))); (2,(((6,5),4),3),1); -4536 -4536 -1.00705 27.3422 13.1814 -4549.15
(1,(2,3),((4,6),5)); (5,((2,3),1),(4,6)); -4543.8 -4543.8 -1.90918 28.3649 13.4207 -4556.83
